ACI,HMP Altcourse
BAI,HMP Belmarsh
BMI,HMP Birmingham
BLI,HMP Bristol
BCI,HMP Buckley Hall
BNI,HMP Bullingdon
CFI,HMP Cardiff
CDI,HMP Chelmsford
DRI,HMP Dorchester
DMI,HMP Durham
EYI,HMP Elmley
FBI,HMP Forest Bank
FHI,HMP Foston Hall
FKI,HMP Frankland
FNI,HMP Full Sutton
GTI,HMP Gartree
GNI,HMP Grendon
HEI,HMP Hewell
HOI,HMP High Down
HPI,HMP Highpoint
HLI,HMP Hull
LEI,HMP Leeds
LCI,HMP Leicester
LWI,HMP Lewes
LII,HMP Lincoln
LHI,HMP Lindholme
LPI,HMP Liverpool
MSI,HMP Maidstone
MRI,HMP Manchester
NHI,HMP New Hall
NLI,HMP Northumberland
NMI,HMP Nottingham
PVI,HMP Pentonville
PFI,HMP Peterborough
PNI,HMP Preston
RCI,HMP Rochester
RHI,HMP Rye Hill
STI,HMP Styal
SLI,HMP Swaleside
SWI,HMP Swansea
TSI,HMP Thameside
WDI,HMP Wakefield
WWI,HMP Wandsworth
WRI,HMP Whitemoor
WCI,HMP Winchester
WHI,HMP Woodhill
WSI,HMP Wormwood Scrubs
EXI,HMP/YOI Exeter
FBI,HMP/YOI Forest Bank
NHI,HMP/YOI New Hall
STI,HMP/YOI Styal
AYI,HMYOI Aylesbury
HII,HMYOI Hindley
LNI,HMYOI Low Newton
SNI,HMYOI Swinfen Hall
GTI,Unknown - transferred from HMP Gartree
HDI,zzzHMP/YOI Moorland Open (Now Hatfield)
IWI,zzzIsle of Wight (HMP - Albany site)
IWI,zzzIsle of Wight (HMP - Parkhurst site)
